id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,postcode,rich,borough,before_pandemic
2595,Skylit Midtown Castle,2845,Jennifer,Midtown,40.75362,-73.98376999999999,Entire home/apt,225.0,1,45,2019-05-21,0.38,2,355,10018,1.0,Manhattan,1
12318,West Side Retreat,16800,Cyn,Upper West Side,40.79009,-73.97927,Private room,135.0,4,81,2019-06-16,0.69,1,273,10024,1.0,Manhattan,1
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Upper West Side,40.78635,-73.97008000000001,Entire home/apt,151.0,2,73,2019-07-07,0.63,1,302,10024,1.0,Manhattan,1
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Hell's Kitchen,40.755309999999994,-73.99293,Private room,69.0,2,289,2019-06-09,2.49,2,294,10018,1.0,Manhattan,1
15711,2 bedroom - Upper East Side-great for kids,61491,D,Upper East Side,40.77065,-73.95269,Entire home/apt,250.0,2,66,2019-03-30,0.57,2,231,10075,1.0,Manhattan,1
18152,Manhattan Room,69942,Victoria,Upper East Side,40.76865,-73.95058,Private room,200.0,1,142,2019-07-06,1.5,1,322,10021,1.0,Manhattan,1
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,East Village,40.72392,-73.99143000000001,Entire home/apt,185.0,5,73,2019-06-25,0.66,1,209,10013,1.0,Manhattan,1
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Upper East Side,40.77711,-73.9527,Entire home/apt,219.0,4,126,2019-06-26,1.16,2,290,10028,1.0,Manhattan,1
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Upper East Side,40.77456,-73.95323,Entire home/apt,99.0,1,234,2019-06-08,2.6,2,164,10028,1.0,Manhattan,1
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Upper East Side,40.76834,-73.95334,Private room,75.0,3,199,2019-06-24,1.85,1,326,10021,1.0,Manhattan,1
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,SoHo,40.72003,-74.00262,Entire home/apt,500.0,4,94,2019-06-23,0.99,1,329,10013,1.0,Manhattan,1
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,7310,Tilly,Little Italy,40.71702,-73.99811,Entire home/apt,90.0,14,1,2019-01-02,0.16,1,14,10013,1.0,Manhattan,1
68735,Prewar Penthouse w Private Terrace,342054,Violetta,Upper West Side,40.78971,-73.9729,Entire home/apt,195.0,11,30,2019-06-13,0.32,1,249,10024,1.0,Manhattan,1
68974,Unique spacious loft on the Bowery,281229,Alicia,Little Italy,40.719429999999996,-73.99627,Entire home/apt,575.0,2,191,2019-06-20,1.88,1,298,10013,1.0,Manhattan,1
190267,Large Luxury Upper East Side Studio,918866,Marina,Upper East Side,40.76684,-73.95944,Entire home/apt,169.0,7,39,2019-07-07,0.41,1,44,10021,1.0,Manhattan,1
221618,Gorgeous PermaGO Private Room in FiDi - 1/2,4887492,Gershwyn,Tribeca,40.711929999999995,-74.00816999999999,Private room,150.0,3,82,2019-05-21,0.87,2,90,10007,1.0,Manhattan,1
228517,Great Bedroom in Downtown Manhattan,1192610,Raven,Chinatown,40.71611,-73.99828000000001,Private room,110.0,30,59,2019-06-24,0.64,1,281,10013,1.0,Manhattan,1
233662,Large Sunny Luxe Prvt Room/Midtown,1223568,Tiffany,Midtown,40.75575,-73.96842,Private room,110.0,2,61,2019-05-18,0.65,1,264,10022,1.0,Manhattan,1
245607,big 1 bedroom apt very central,825022,Jaidev,Chelsea,40.75127,-73.99637,Entire home/apt,226.0,5,34,2019-07-01,0.39,1,302,10018,1.0,Manhattan,1
251277,Private Bdrm /Bath 1 block Ctrl Prk,1317343,Carol,Upper West Side,40.785579999999996,-73.9726,Private room,140.0,1,176,2019-06-29,1.89,1,300,10024,1.0,Manhattan,1
260765,NewYork Modern Pre-War LoftStudio ,480943,Ro,Upper East Side,40.76928,-73.95021,Entire home/apt,189.0,2,314,2019-07-01,3.45,2,206,10021,1.0,Manhattan,1
263888,Contemporary & Classic Sanctuary on the Hudson,1384559,C,Upper West Side,40.79433,-73.9765,Entire home/apt,225.0,2,129,2019-04-28,1.41,1,107,10024,1.0,Manhattan,1
266146,Beautiful studio by Central Park,1385157,Brian,Upper West Side,40.78448,-73.97289,Entire home/apt,109.0,30,36,2019-03-19,0.39,5,286,10024,1.0,Manhattan,1
326832,Cozy Upper East Side Studio,668564,Nitzan,Upper East Side,40.77471,-73.95574,Entire home/apt,159.0,2,32,2019-06-23,0.47,1,7,10028,1.0,Manhattan,1
328693,Spacious Manhattan Apartment near Central Park,1013131,Joseph,Upper West Side,40.78867,-73.96809,Entire home/apt,179.0,3,297,2019-06-24,3.37,1,205,10024,1.0,Manhattan,1
341525,TIMES SQUARE MASTER BEDROOM!,1732559,J,Hell's Kitchen,40.75763,-73.99481999999999,Private room,95.0,6,62,2019-06-01,0.76,2,80,10018,1.0,Manhattan,1
351859,Exquisite Spacious Studio in Midtown,417652,Ron,Chelsea,40.74964,-73.99158,Entire home/apt,265.0,4,75,2019-07-01,0.86,1,324,10018,1.0,Manhattan,1
357509,Manhattan -  Best Location in Midtown,684129,Ellie,Midtown,40.75407,-73.96713000000001,Entire home/apt,110.0,7,27,2019-03-01,0.31,1,192,10022,1.0,Manhattan,1
386744,Great room priv/bathrm Eastside location 70's ST,1935291,Cristina,Upper East Side,40.7685,-73.96034,Private room,105.0,7,93,2019-06-07,1.06,1,70,10021,1.0,Manhattan,1
405408,"Magazine SOHO Studio Loft. 
Read our reviews!",2020431,M. C.,SoHo,40.72057,-73.99976,Entire home/apt,225.0,3,134,2019-06-22,1.53,1,231,10013,1.0,Manhattan,1
413775,Midtown East Sutton Area Entire Apt,2058589,Cary,Midtown,40.75816,-73.96457,Entire home/apt,275.0,2,16,2019-05-09,0.24,1,167,10022,1.0,Manhattan,1
443646,Classy 2.5 BR Brownstone w/ Garden,2204078,Michelle,Upper West Side,40.78911,-73.97395999999999,Entire home/apt,395.0,14,39,2019-05-16,0.45,1,50,10024,1.0,Manhattan,1
459066,******AMAZING DEAL IN NYC*****,2282355,Ivana,Upper East Side,40.76719,-73.95303,Entire home/apt,150.0,2,23,2019-01-01,0.27,1,0,10021,1.0,Manhattan,1
483485,Downtown Full Floor Loft,1492619,Wallace,Civic Center,40.71164,-74.00774,Entire home/apt,328.0,2,319,2019-07-02,3.78,1,112,10007,1.0,Manhattan,1
491977,Stylish Large 1bd APT in Chinatown/Tribeca NYC,2431528,Christine,Chinatown,40.71456,-73.99978,Entire home/apt,165.0,5,22,2019-05-11,0.26,1,316,10013,1.0,Manhattan,1
494937,"The SoHo Loft - Huge Penthouse - 1,200 sqft",1527535,Jean-Marie,SoHo,40.72162,-74.00414,Entire home/apt,499.0,2,63,2019-07-07,0.76,1,26,10013,1.0,Manhattan,1
510218,Spacious Upper West Side 1-Bedroom,2513726,Margaret,Upper West Side,40.79218,-73.97926,Entire home/apt,185.0,2,165,2019-06-18,1.92,1,259,10024,1.0,Manhattan,1
518566,"Gorgeous, charming Upper East private room",1497427,Andrea,Upper East Side,40.77108,-73.95966999999999,Private room,82.0,3,10,2019-05-15,0.13,2,251,10021,1.0,Manhattan,1
530576,"1bedroom, 70s UWS,brownstone charm",263510,Sandy,Upper West Side,40.78111,-73.97739,Private room,93.0,14,88,2019-06-28,1.03,1,176,10024,1.0,Manhattan,1
540489,Large + Bright private bedroom in NoLiTa,2656413,Anton,Little Italy,40.72006,-73.99579,Private room,58.0,6,18,2019-01-20,0.21,1,0,10013,1.0,Manhattan,1
546573,Stunning apt with downtown views!,1792568,Mickey,Financial District,40.705870000000004,-74.01534000000001,Entire home/apt,500.0,2,63,2019-05-19,0.75,1,79,10004,1.0,Manhattan,1
654005,Charming 2 Bdrm UWS w/ private deck,1242765,Kate,Upper West Side,40.78363,-73.97797,Entire home/apt,349.0,3,58,2019-06-18,0.7,1,341,10024,1.0,Manhattan,1
655783,Chic Luxe 1BR 1.5BA 900sf -Midtown ,3301845,Alana,Midtown,40.75663,-73.96681,Entire home/apt,285.0,7,10,2019-07-06,3.53,1,0,10022,1.0,Manhattan,1
657217,Prime location near Central Park !!,3312204,Olga,Upper East Side,40.7779,-73.95246,Private room,79.0,1,347,2019-07-04,4.24,2,247,10028,1.0,Manhattan,1
660036,Great Apt Steps from Central Park,3330459,Lynne,Upper West Side,40.78754,-73.96989,Private room,113.0,1,93,2019-05-21,1.12,1,2,10024,1.0,Manhattan,1
671633,REDUCED! Private Apt~Fun NYC area!,1709717,Camille,Upper East Side,40.77382,-73.95088,Entire home/apt,141.0,2,46,2019-06-14,0.57,1,346,10028,1.0,Manhattan,1
731293,**YOUR HOME AWAY FROM HOME** : UES/66th LG 1 BDRM,3805320,R And R,Upper East Side,40.76352,-73.96394000000001,Entire home/apt,200.0,3,203,2019-06-20,2.53,1,260,10065,1.0,Manhattan,1
741154,Beautiful duplex loft with Skylight,1406458,Nancy,Tribeca,40.71778,-74.00452,Entire home/apt,210.0,14,10,2019-07-04,10.0,1,0,10013,1.0,Manhattan,1
746088,Little Italy gem Center of it all!,1483464,Robert,Little Italy,40.71955,-73.99706,Entire home/apt,199.0,3,219,2019-06-16,2.68,1,212,10013,1.0,Manhattan,1
758782,Perfect Midtown Apt E. 50th St,286313,Kiovanna,Midtown,40.75383,-73.96777,Entire home/apt,133.0,6,22,2019-06-29,0.33,1,5,10022,1.0,Manhattan,1
760303,UES Manhattan Quiet Nest 1 Bdrm,4007393,Jenni,Upper East Side,40.776379999999996,-73.95246999999999,Entire home/apt,155.0,5,63,2019-07-05,0.78,1,235,10028,1.0,Manhattan,1
770893,1 Bdrm Apt-Luxury Bldg-Upper West,4066797,Victoria,Upper West Side,40.77734,-73.9877,Entire home/apt,100.0,29,3,2019-02-11,0.11,1,301,10069,1.0,Manhattan,1
773993,Upper East Side Oasis!,4083654,Santina,Upper East Side,40.77032,-73.95331,Private room,85.0,2,138,2019-07-07,2.06,1,196,10021,1.0,Manhattan,1
795680,Upper East side cozy 1 bdr apt,4191209,Fran,Upper East Side,40.7666,-73.95903,Entire home/apt,105.0,14,7,2019-01-06,0.16,1,84,10021,1.0,Manhattan,1
804246,"HUGE, PRIVATE, SUNLIT ROOM IN DOWNTOWN NYC LOFT!",4233030,Michael,Chinatown,40.717859999999995,-73.99518,Private room,195.0,3,61,2019-06-30,0.77,1,134,10013,1.0,Manhattan,1
814327,room in uper east side manhattan,4279005,Jefry,Upper East Side,40.77171,-73.95042,Private room,81.0,10,64,2019-05-04,0.93,1,311,10075,1.0,Manhattan,1
825486,1 BEDROOM APARTMENT IN UPPER EAST,4331441,Francesco,Upper East Side,40.76744,-73.96118,Entire home/apt,135.0,1,225,2019-06-18,2.83,1,19,10021,1.0,Manhattan,1
846854,Large Garden Duplex on Park block,4422368,Dirk,Upper West Side,40.78689,-73.97314,Entire home/apt,300.0,30,93,2019-06-08,1.24,1,284,10024,1.0,Manhattan,1
846871,"Cozy 1 BR near Central Park, AMNH, The MET & More",3179895,Dee,Upper West Side,40.784290000000006,-73.97815,Private room,131.0,2,220,2019-06-23,2.85,1,1,10024,1.0,Manhattan,1
848220,LUXURY APT w PRIVATE GARDEN NYC UES,4425694,Gregory,Upper East Side,40.767140000000005,-73.95922,Entire home/apt,160.0,1,187,2019-05-24,2.36,1,221,10021,1.0,Manhattan,1
883517,3 Bedroom Upper West Side Gem,4677362,Julie,Upper West Side,40.78615,-73.98137,Entire home/apt,339.0,4,28,2019-07-06,0.37,1,167,10024,1.0,Manhattan,1
921862,Breathtaking view of New York city,4957149,George,Upper West Side,40.7886,-73.97553,Entire home/apt,190.0,28,28,2019-05-31,0.41,1,283,10024,1.0,Manhattan,1
923566,Sunlit Central Park Apartment,4967515,Cody,Upper West Side,40.78775,-73.98151999999999,Entire home/apt,200.0,6,22,2019-01-04,0.28,2,354,10024,1.0,Manhattan,1
925730,Large studio all to yourself,4980428,L,Chinatown,40.7189,-73.99654,Entire home/apt,160.0,7,13,2019-06-10,0.17,1,335,10013,1.0,Manhattan,1
927987,Bright Doorman One Bedroom on Upper East Side,755172,Meg,Upper East Side,40.77543,-73.95499000000001,Entire home/apt,230.0,3,20,2019-06-10,0.26,1,282,10028,1.0,Manhattan,1
